==========================================
SLURM_JOB_ID = 6156120
SLURM_JOB_NODELIST = d18-30
TMPDIR = /tmp/SLURM_6156120
==========================================
10_10_15_01_10_462 [22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 15
Epoch 53: Loss = 0.42317, Training (Code) = 0.12514, Validation (Code) = 0.12587, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 54: Loss = 0.42317, Training (Code) = 0.12633, Validation (Code) = 0.12292, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 55: Loss = 0.42317, Training (Code) = 0.12664, Validation (Code) = 0.12529, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 56: Loss = 0.42317, Training (Code) = 0.12618, Validation (Code) = 0.12475, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 57: Loss = 0.42317, Training (Code) = 0.12586, Validation (Code) = 0.12771, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99967
Epoch 58: Loss = 0.42317, Training (Code) = 0.12519, Validation (Code) = 0.12642, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 59: Loss = 0.42317, Training (Code) = 0.12396, Validation (Code) = 0.12596, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 60: Loss = 0.42317, Training (Code) = 0.12829, Validation (Code) = 0.12387, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 61: Loss = 0.42317, Training (Code) = 0.12678, Validation (Code) = 0.12608, Training (X) = 0.99984, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 62: Loss = 0.42317, Training (Code) = 0.12639, Validation (Code) = 0.12454, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
