==========================================
SLURM_JOB_ID = 6150673
SLURM_JOB_NODELIST = d23-10
TMPDIR = /tmp/SLURM_6150673
==========================================
Epoch 47: Loss = 0.47016, Training (Code) = 0.37199, Validation (Code) = 0.37579, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 48: Loss = 0.47012, Training (Code) = 0.37457, Validation (Code) = 0.37175, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 49: Loss = 0.47007, Training (Code) = 0.3724, Validation (Code) = 0.37862, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 50: Loss = 0.47002, Training (Code) = 0.37412, Validation (Code) = 0.37321, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 51: Loss = 0.46996, Training (Code) = 0.37233, Validation (Code) = 0.3765, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 52: Loss = 0.46989, Training (Code) = 0.37215, Validation (Code) = 0.37738, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 53: Loss = 0.46982, Training (Code) = 0.37273, Validation (Code) = 0.38004, Training (X) = 0.99994, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 54: Loss = 0.46974, Training (Code) = 0.37255, Validation (Code) = 0.37771, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 55: Loss = 0.46966, Training (Code) = 0.37279, Validation (Code) = 0.37696, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 56: Loss = 0.46957, Training (Code) = 0.37398, Validation (Code) = 0.37388, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99989
Epoch 57: Loss = 0.46948, Training (Code) = 0.37417, Validation (Code) = 0.37496, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 58: Loss = 0.46939, Training (Code) = 0.37206, Validation (Code) = 0.37621, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 59: Loss = 0.46929, Training (Code) = 0.37361, Validation (Code) = 0.3775, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 60: Loss = 0.4692, Training (Code) = 0.37381, Validation (Code) = 0.37292, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
